ensembl_gene_id	external_gene_name	Fem7_Exe_shelf	Fem8_Exe_shelf	Fem9_Exe_shelf	Fem7_Exe_HVC	Fem8_Exe_HVC	Fem9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000789		66	87	48	56	66	43	60.568972393626	-0.23114218342441653	0.38779215836482817	-0.5960465637032349	0.5511441204889778	0.9998207068924773
ENSTGUG00000000790	CHEK1	16	28	24	23	12	42	23.93216932972176	0.23361469320611164	0.6223629166345284	0.37536730894796827	0.7073873140666103	0.9998207068924773
ENSTGUG00000000792		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000793	ANXA1	9	59	39	14	51	35	33.31841516061193	-0.051332384870250714	0.6947763308668672	-0.07388332415729201	0.9411032249739444	0.9998207068924773
ENSTGUG00000000794		0	0	1	0	0	1	0.32258269211491875	0.04432518385412151	4.080472856796901	0.010862756697496081	0.9913329445949881	0.9998207068924773
ENSTGUG00000000795		1	2	0	2	3	1	1.494364491222742	1.0635606657531325	1.9918993635891131	0.533942971815981	0.5933809902798685	0.9998207068924773
ENSTGUG00000000796	DPP9	122	117	111	114	133	138	121.94635166965467	0.17484228030816867	0.24416383369330227	0.7160859070053373	0.4739383052583095	0.9998207068924773
ENSTGUG00000000797	STT3A	1463	1973	1789	1665	1831	1821	1744.0757971709618	0.07577877346317949	0.1317210158405606	0.5752975178608142	0.5650900999281283	0.9998207068924773
ENSTGUG00000000798	MATN1	20	19	12	19	22	17	18.146114643434142	0.227259648005043	0.5903198986858592	0.38497710904029686	0.7002543752758692	0.9998207068924773
ENSTGUG00000000799	ANXA6	1828	2204	2471	1642	1809	2238	2013.0972173316336	-0.15057473358277026	0.1584997053752867	-0.9500000850238041	0.34211220941483045	0.9998207068924773
ENSTGUG00000000800	ALDH1A1	0	4	13	0	0	1	2.8842684558030296	-3.913340644688554	2.2642406541354783	-1.728323638011317	0.08393021743745045	0.9998207068924773
ENSTGUG00000000801	LAPTM5	169	274	88	144	278	91	171.7301446801921	-7.248574203343519e-4	0.46322655838490573	-0.0015648010832143417	0.9987514698845014	0.9998207068924773
ENSTGUG00000000802		1	7	0	1	2	0	1.7546238952327815	-1.3120708978109112	2.2554786007744716	-0.581726156639385	0.5607511500898217	0.9998207068924773
ENSTGUG00000000803	MYDGF	122	69	86	73	94	91	89.11066482905292	-0.08310118654380674	0.3483084446739863	-0.2385850467150997	0.8114273613157479	0.9998207068924773
ENSTGUG00000000804	EI24	1756	1883	1516	1579	1677	1497	1644.653507623298	-0.069789880935037	0.1558064679834576	-0.44792672498324515	0.6542060801806353	0.9998207068924773
ENSTGUG00000000805	HDGFL2	1342	1496	1515	1142	1141	1484	1343.4368215844593	-0.1655357318424677	0.15183376965105227	-1.090243179912516	0.27560603713661463	0.9998207068924773
ENSTGUG00000000806	SDC3	101	159	105	119	141	110	121.4643892365006	0.07515001468551251	0.28130798617394454	0.2671449741175997	0.7893575411158301	0.9998207068924773
ENSTGUG00000000807		71	87	88	66	107	87	83.39937015453349	0.11561094362775987	0.2986585130971229	0.3871007808512176	0.6986815995591881	0.9998207068924773
ENSTGUG00000000808	TMC1	2	4	2	12	0	5	4.331165095636943	1.2259339167910033	1.501488215678788	0.8164792130831257	0.41422610767068657	0.9998207068924773
ENSTGUG00000000809		64	103	36	55	108	37	66.2794962451226	0.025793779751056675	0.5137168666255753	0.05021010877156304	0.9599549560813087	0.9998207068924773
ENSTGUG00000000810	NKAIN1	96	198	67	113	215	100	129.4885896501679	0.2990012267838954	0.43422625331115344	0.6885839455903191	0.49108512690752976	0.9998207068924773
ENSTGUG00000000811		382	240	335	254	266	271	291.358429798247	-0.24445968153328182	0.254892690500347	-0.9590690147034601	0.3375239786756441	0.9998207068924773
ENSTGUG00000000812	SNRNP40	894	990	1212	844	1039	1347	1044.3510300243352	0.09513968512851624	0.1905968286476929	0.4991671991792497	0.6176616000760131	0.9998207068924773
ENSTGUG00000000813	UBXN6	634	660	548	540	600	513	579.9582084262648	-0.11117193862945886	0.17303051711222472	-0.6424990255178777	0.5205492218322771	0.9998207068924773
ENSTGUG00000000814	FOXRED1	512	432	453	437	491	375	449.4692731228525	-0.059611842925901645	0.20814199003860231	-0.2863998893968773	0.7745718594031443	0.9998207068924773
ENSTGUG00000000815	SRPRA	2276	2540	2476	2376	2318	2486	2401.921803360989	0.02666291396779605	0.1283207274828849	0.2077833760048803	0.8353981133586468	0.9998207068924773
ENSTGUG00000000816		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000817	ZCCHC17	1254	918	934	1063	925	1014	1020.5218712273106	-0.008840704861480418	0.21740116186114872	-0.040665398408159664	0.9675626468355129	0.9998207068924773
